state,county,date_stay_at_home_effective
Texas,Gaines,2020-04-02
Texas,Tyler,2020-04-02
Virginia,Accomack,2020-03-30
West Virginia,Boone,2020-03-24
West Virginia,Mercer,2020-03-24
Texas,Nolan,2020-04-02
Alabama,Dallas,2020-04-04
Arizona,Gila,2020-03-31
Colorado,Prowers,2020-03-26
District of Columbia,District of Columbia,2020-04-01
Florida,St. Lucie,2020-04-03
Georgia,Spalding,2020-04-03
Indiana,Martin,2020-03-24
Kentucky,Fulton,2020-03-26
Kentucky,Harrison,2020-03-26
Kentucky,Owsley,2020-03-26
Kentucky,Scott,2020-03-26
Louisiana,Grant,2020-03-23
Louisiana,Jefferson,2020-03-23
Michigan,Manistee,2020-03-24
Michigan,Mason,2020-03-24
Mississippi,Lafayette,2020-04-03
Missouri,Andrew,2020-04-06
North Carolina,Martin,2020-03-30
Oregon,Linn,2020-03-23
Pennsylvania,Fulton,2020-04-01
South Carolina,York,NA
South Dakota,Codington,NA
Tennessee,Benton,2020-03-31
Texas,Freestone,2020-04-02
Virginia,Franklin city,2020-03-30
Virginia,Madison,2020-03-30
Virginia,Radford city,2020-03-30
Ohio,Vinton,2020-03-23
South Dakota,Butte,NA
Arizona,Pima,2020-03-31
Arizona,Yuma,2020-03-31
California,Tuolumne,2020-03-19
Georgia,Charlton,2020-04-03
Georgia,Stephens,2020-04-03
Iowa,Pottawattamie,NA
Missouri,Gentry,2020-04-06
Missouri,St. Louis city,2020-04-06
North Carolina,Dare,2020-03-30
Oklahoma,Kay,NA
Texas,Comanche,2020-04-02
Nebraska,Dawes,NA
Puerto Rico,Aguadilla,NA
Kentucky,Robertson,2020-03-26
Texas,Schleicher,2020-04-02
Arkansas,Craighead,NA
Arkansas,Prairie,NA
Georgia,Evans,2020-04-03
Georgia,Tift,2020-04-03
Illinois,Woodford,2020-03-21
Indiana,Bartholomew,2020-03-24
Kansas,Sumner,2020-03-30
Mississippi,Claiborne,2020-04-03
Mississippi,Lowndes,2020-04-03
Missouri,Shelby,2020-04-06
New York,Chautauqua,2020-03-22
North Carolina,Beaufort,2020-03-30
North Carolina,Forsyth,2020-03-30
Texas,Atascosa,2020-04-02
Texas,Kerr,2020-04-02
Texas,Rusk,2020-04-02
Virginia,Northumberland,2020-03-30
Illinois,Edgar,2020-03-21
South Dakota,Perkins,NA
Texas,Borden,2020-04-02
Colorado,Montezuma,2020-03-26
Georgia,Gwinnett,2020-04-03
Georgia,Lumpkin,2020-04-03
Kentucky,Bath,2020-03-26
New York,Wyoming,2020-03-22
Pennsylvania,Warren,2020-04-01
West Virginia,Wood,2020-03-24
Missouri,Sullivan,2020-04-06
Indiana,Spencer,2020-03-24
Louisiana,Union,2020-03-23
Michigan,Missaukee,2020-03-24
Mississippi,Jackson,2020-04-03
Missouri,Livingston,2020-04-06
Oregon,Benton,2020-03-23
Oregon,Jefferson,2020-03-23
Pennsylvania,Chester,2020-04-01
Pennsylvania,Elk,2020-04-01
Nebraska,Pawnee,NA
Alabama,Greene,2020-04-04
Alabama,Macon,2020-04-04
Florida,Orange,2020-04-03
Kentucky,Laurel,2020-03-26
Maryland,Harford,2020-03-30
North Carolina,Lee,2020-03-30
North Dakota,Grand Forks,NA
Ohio,Guernsey,2020-03-23
South Dakota,Walworth,NA
Tennessee,Bledsoe,2020-03-31
Tennessee,Cocke,2020-03-31
Tennessee,Henry,2020-03-31
Virgin Islands,St. Thomas,NA
Wisconsin,Columbia,2020-03-25
Puerto Rico,Anasco,NA
Puerto Rico,Guaynabo,NA
Texas,Wheeler,2020-04-02
Texas,Throckmorton,2020-04-02
Arkansas,Chicot,NA
Arkansas,Logan,NA
Florida,Liberty,2020-04-03
Georgia,Franklin,2020-04-03
Iowa,Cerro Gordo,NA
Iowa,Page,NA
Louisiana,Concordia,2020-03-23
Maryland,Baltimore city,2020-03-30
Michigan,Gladwin,2020-03-24
New York,Putnam,2020-03-22
North Dakota,McIntosh,NA
Ohio,Stark,2020-03-23
Oregon,Union,2020-03-23
Texas,Oldham,2020-04-02
West Virginia,Barbour,2020-03-24
Kansas,Pawnee,2020-03-30
Kansas,Logan,2020-03-30
Montana,Fergus,2020-03-28
Georgia,Clarke,2020-04-03
Georgia,Long,2020-04-03
Illinois,Moultrie,2020-03-21
Iowa,Henry,NA
Kentucky,Letcher,2020-03-26
Michigan,Genesee,2020-03-24
Michigan,Oakland,2020-03-24
Mississippi,Holmes,2020-04-03
Mississippi,Oktibbeha,2020-04-03
Mississippi,Sunflower,2020-04-03
Missouri,Saline,2020-04-06
New York,Oneida,2020-03-22
North Carolina,Wayne,2020-03-30
Texas,Childress,2020-04-02
Washington,Clallam,2020-03-23
Alaska,Petersburg Borough,2020-03-28
Colorado,Las Animas,2020-03-26
Colorado,Phillips,2020-03-26
Colorado,Washington,2020-03-26
Indiana,Sullivan,2020-03-24
Kentucky,Boyd,2020-03-26
Kentucky,Woodford,2020-03-26
Minnesota,Dodge,2020-03-27
Mississippi,Yalobusha,2020-04-03
Missouri,Franklin,2020-04-06
Missouri,Ralls,2020-04-06
Montana,Ravalli,2020-03-28
Nebraska,Gosper,NA
New Hampshire,Rockingham,2020-03-27
New Mexico,Bernalillo,2020-03-24
Ohio,Lake,2020-03-23
Texas,Mason,2020-04-02
Virginia,Carroll,2020-03-30
Puerto Rico,Caguas,NA
Virginia,Grayson,2020-03-30
Arkansas,Boone,NA
Georgia,Dooly,2020-04-03
Illinois,Vermilion,2020-03-21
Indiana,Huntington,2020-03-24
Michigan,Macomb,2020-03-24
Minnesota,Cottonwood,2020-03-27
Mississippi,Monroe,2020-04-03
North Carolina,Macon,2020-03-30
Oregon,Lincoln,2020-03-23
Pennsylvania,Pike,2020-04-01
Virginia,Tazewell,2020-03-30
Nebraska,Greeley,NA
Puerto Rico,Lares,NA
Texas,Lipscomb,2020-04-02
Texas,McMullen,2020-04-02
Alabama,Calhoun,2020-04-04
Alabama,Marshall,2020-04-04
Colorado,Otero,2020-03-26
Illinois,Lake,2020-03-21
Indiana,Jackson,2020-03-24
Kentucky,Pendleton,2020-03-26
Michigan,Ottawa,2020-03-24
Nebraska,Platte,NA
Nebraska,Webster,NA
Nevada,White Pine,2020-04-01
North Dakota,Cass,NA
North Dakota,Williams,NA
Texas,Hemphill,2020-04-02
Nebraska,Thurston,NA
Nebraska,Valley,NA
Texas,Baylor,2020-04-02
Nebraska,Hooker,NA
Alabama,Lee,2020-04-04
Arkansas,Clay,NA
Arkansas,Lawrence,NA
Arkansas,Stone,NA
Colorado,Gilpin,2020-03-26
Florida,Sarasota,2020-04-03
Georgia,Macon,2020-04-03
Illinois,Saline,2020-03-21
Iowa,Jasper,NA
Missouri,Webster,2020-04-06
New Hampshire,Grafton,2020-03-27
New York,Ontario,2020-03-22
North Carolina,Halifax,2020-03-30
North Carolina,Wake,2020-03-30
Ohio,Columbiana,2020-03-23
Oregon,Marion,2020-03-23
South Carolina,Anderson,NA
Tennessee,Maury,2020-03-31
Virginia,Falls Church city,2020-03-30
West Virginia,Raleigh,2020-03-24
Minnesota,Hubbard,2020-03-27
Minnesota,Lake of the Woods,2020-03-27
Florida,Seminole,2020-04-03
Florida,Walton,2020-04-03
Idaho,Lincoln,2020-03-25
Indiana,Knox,2020-03-24
Maryland,Allegany,2020-03-30
Maryland,Prince George's,2020-03-30
Mississippi,Lamar,2020-04-03
Mississippi,Neshoba,2020-04-03
Missouri,Chariton,2020-04-06
Nevada,Humboldt,2020-04-01
New York,New York City,2020-03-22
Pennsylvania,Cumberland,2020-04-01
Arizona,Mohave,2020-03-31
Georgia,Jackson,2020-04-03
Indiana,Johnson,2020-03-24
Indiana,Tippecanoe,2020-03-24
Massachusetts,Hampden,2020-03-24
Michigan,Emmet,2020-03-24
Mississippi,Harrison,2020-04-03
Missouri,Pettis,2020-04-06
Missouri,St. Louis,2020-04-06
Missouri,Warren,2020-04-06
New Mexico,San Miguel,2020-03-24
Ohio,Holmes,2020-03-23
Texas,Eastland,2020-04-02
Texas,Henderson,2020-04-02
Virgin Islands,St. Croix,NA
Virginia,Chesterfield,2020-03-30
West Virginia,Marion,2020-03-24
Minnesota,Kanabec,2020-03-27
Colorado,Jackson,2020-03-26
Alabama,Lamar,2020-04-04
Arkansas,Crittenden,NA
Colorado,Larimer,2020-03-26
Georgia,Walton,2020-04-03
Indiana,Fayette,2020-03-24
Indiana,Randolph,2020-03-24
Kansas,Osage,2020-03-30
Kentucky,Kenton,2020-03-26
Kentucky,Rockcastle,2020-03-26
Maine,Kennebec,2020-04-02
Michigan,Benzie,2020-03-24
Michigan,Ingham,2020-03-24
Michigan,Van Buren,2020-03-24
Minnesota,Martin,2020-03-27
Montana,Musselshell,2020-03-28
Ohio,Darke,2020-03-23
Tennessee,Johnson,2020-03-31
Tennessee,Obion,2020-03-31
Texas,Ector,2020-04-02
Utah,Carbon,NA
Virginia,Page,2020-03-30
Iowa,Calhoun,NA
Minnesota,Grant,2020-03-27
Puerto Rico,Canovanas,NA
Puerto Rico,Juana Diaz,NA
Puerto Rico,Las Marias,NA
Texas,Runnels,2020-04-02
Arkansas,Garland,NA
Arkansas,Lonoke,NA
Colorado,Denver,2020-03-26
Indiana,Morgan,2020-03-24
Kansas,Johnson,2020-03-30
Minnesota,Becker,2020-03-27
Mississippi,Kemper,2020-04-03
Mississippi,Lauderdale,2020-04-03
Missouri,Daviess,2020-04-06
Missouri,Morgan,2020-04-06
North Carolina,Rutherford,2020-03-30
Oklahoma,Delaware,NA
South Carolina,Saluda,NA
Texas,Aransas,2020-04-02
Utah,Sevier,NA
Wisconsin,Kenosha,2020-03-25
Puerto Rico,Arroyo,NA
Georgia,Barrow,2020-04-03
Georgia,Peach,2020-04-03
Iowa,Greene,NA
Iowa,Worth,NA
Louisiana,Bossier,2020-03-23
Minnesota,Houston,2020-03-27
Missouri,Perry,2020-04-06
Missouri,Stone,2020-04-06
North Carolina,Transylvania,2020-03-30
Oklahoma,Carter,NA
Texas,Brown,2020-04-02
Puerto Rico,San German,NA
Arkansas,Columbia,NA
Colorado,Delta,2020-03-26
Kansas,Chase,2020-03-30
Kentucky,Marshall,2020-03-26
Minnesota,Carver,2020-03-27
Minnesota,Lyon,2020-03-27
Minnesota,Ramsey,2020-03-27
Ohio,Meigs,2020-03-23
Tennessee,Carter,2020-03-31
West Virginia,Monroe,2020-03-24
Alabama,Autauga,2020-04-04
California,San Bernardino,2020-03-19
Connecticut,Hartford,2020-03-23
Georgia,Miller,2020-04-03
Illinois,Shelby,2020-03-21
Indiana,Gibson,2020-03-24
Missouri,Carter,2020-04-06
North Carolina,Davie,2020-03-30
South Dakota,Pennington,NA
Georgia,Turner,2020-04-03
Minnesota,Kittson,2020-03-27
Mississippi,Lincoln,2020-04-03
Missouri,Pike,2020-04-06
Montana,Missoula,2020-03-28
Montana,Richland,2020-03-28
Oklahoma,McClain,NA
Texas,Colorado,2020-04-02
Texas,Hardin,2020-04-02
Virginia,Culpeper,2020-03-30
Oklahoma,Washita,NA
Nebraska,Grant,NA
California,San Diego,2020-03-19
Colorado,Routt,2020-03-26
Florida,Dixie,2020-04-03
Georgia,Bulloch,2020-04-03
Georgia,Newton,2020-04-03
Idaho,Kootenai,2020-03-25
Indiana,DeKalb,2020-03-24
Indiana,Jay,2020-03-24
Indiana,Miami,2020-03-24
Kansas,Finney,2020-03-30
Michigan,Charlevoix,2020-03-24
Missouri,St. Clair,2020-04-06
Montana,Flathead,2020-03-28
Montana,Jefferson,2020-03-28
New York,Warren,2020-03-22
Ohio,Scioto,2020-03-23
South Dakota,Yankton,NA
Tennessee,Hamilton,2020-03-31
Tennessee,Sevier,2020-03-31
Wisconsin,Dane,2020-03-25
Wisconsin,Oneida,2020-03-25
Wisconsin,Price,2020-03-25
Puerto Rico,Maunabo,NA
Wisconsin,Langlade,2020-03-25
Arkansas,Drew,NA
Florida,Hamilton,2020-04-03
Illinois,DuPage,2020-03-21
Illinois,Tazewell,2020-03-21
Indiana,Henry,2020-03-24
Indiana,Rush,2020-03-24
Kansas,Wilson,2020-03-30
Kentucky,Barren,2020-03-26
Louisiana,St. Tammany,2020-03-23
Michigan,Lapeer,2020-03-24
New Mexico,Los Alamos,2020-03-24
Oregon,Clatsop,2020-03-23
Texas,Cooke,2020-04-02
South Dakota,Ziebach,NA
Minnesota,Stevens,2020-03-27
Delaware,Sussex,2020-03-24
Florida,Jackson,2020-04-03
Georgia,Chattooga,2020-04-03
Georgia,Rockdale,2020-04-03
Indiana,Whitley,2020-03-24
Iowa,Dallas,NA
Mississippi,Hinds,2020-04-03
Missouri,Montgomery,2020-04-06
Montana,Big Horn,2020-03-28
Ohio,Auglaize,2020-03-23
Oklahoma,Kingfisher,NA
Pennsylvania,Clarion,2020-04-01
Virginia,Sussex,2020-03-30
Alaska,Lake and Peninsula Borough,2020-03-28
Arkansas,Cleveland,NA
Colorado,Chaffee,2020-03-26
Colorado,Crowley,2020-03-26
Colorado,Grand,2020-03-26
Georgia,Meriwether,2020-04-03
Hawaii,Honolulu,2020-03-25
Kentucky,Knox,2020-03-26
Louisiana,West Carroll,2020-03-23
Mississippi,Itawamba,2020-04-03
Mississippi,Prentiss,2020-04-03
New Mexico,Eddy,2020-03-24
North Carolina,Greene,2020-03-30
Oklahoma,Jefferson,NA
Oregon,Tillamook,2020-03-23
South Carolina,Charleston,NA
Texas,Red River,2020-04-02
Washington,Douglas,2020-03-23
Puerto Rico,Hatillo,NA
Texas,Glasscock,2020-04-02
Wisconsin,Burnett,2020-03-25
Idaho,Gooding,2020-03-25
Illinois,Grundy,2020-03-21
Illinois,Henry,2020-03-21
Kentucky,Campbell,2020-03-26
Massachusetts,Berkshire,2020-03-24
Minnesota,Cass,2020-03-27
Minnesota,St. Louis,2020-03-27
South Dakota,Brookings,NA
Tennessee,Decatur,2020-03-31
Oregon,Lake,2020-03-23
Arkansas,Crawford,NA
California,Glenn,2020-03-19
Indiana,Hendricks,2020-03-24
Iowa,Johnson,NA
Mississippi,Wilkinson,2020-04-03
New York,Delaware,2020-03-22
New York,Tompkins,2020-03-22
Oklahoma,Nowata,NA
Oklahoma,Pawnee,NA
Oregon,Morrow,2020-03-23
Oregon,Wallowa,2020-03-23
Virginia,Lancaster,2020-03-30
Puerto Rico,Culebra,NA
Alaska,Skagway Municipality,2020-03-28
Georgia,Richmond,2020-04-03
Illinois,Jefferson,2020-03-21
Iowa,Buchanan,NA
Iowa,Jefferson,NA
Kentucky,Casey,2020-03-26
Michigan,Alcona,2020-03-24
Minnesota,Douglas,2020-03-27
North Dakota,Divide,NA
South Carolina,Fairfield,NA
South Dakota,Roberts,NA
Texas,Gray,2020-04-02
Virginia,Charlottesville city,2020-03-30
Virginia,Roanoke city,2020-03-30
Wisconsin,Racine,2020-03-25
Kansas,Anderson,2020-03-30
Colorado,Jefferson,2020-03-26
Florida,Alachua,2020-04-03
Florida,Hardee,2020-04-03
Georgia,Oglethorpe,2020-04-03
Illinois,Fayette,2020-03-21
Iowa,Union,NA
Louisiana,Vermilion,2020-03-23
North Dakota,Eddy,NA
North Dakota,Slope,NA
Ohio,Fayette,2020-03-23
Pennsylvania,Clinton,2020-04-01
Pennsylvania,McKean,2020-04-01
South Dakota,Moody,NA
Tennessee,Meigs,2020-03-31
Texas,Motley,2020-04-02
Virginia,Essex,2020-03-30
Washington,Adams,2020-03-23
West Virginia,Pendleton,2020-03-24
Puerto Rico,Guayama,NA
Nebraska,Brown,NA
Georgia,Whitfield,2020-04-03
Indiana,Dubois,2020-03-24
Louisiana,Natchitoches,2020-03-23
Louisiana,St. Landry,2020-03-23
Michigan,St. Joseph,2020-03-24
Missouri,Caldwell,2020-04-06
New York,Livingston,2020-03-22
New York,Otsego,2020-03-22
Ohio,Ross,2020-03-23
Pennsylvania,Allegheny,2020-04-01
Georgia,Taliaferro,2020-04-03
Kentucky,Lee,2020-03-26
Michigan,Alger,2020-03-24
South Dakota,Brule,NA
Kansas,Marshall,2020-03-30
Kansas,Wallace,2020-03-30
California,Sutter,2020-03-19
Indiana,Vanderburgh,2020-03-24
Kansas,Cherokee,2020-03-30
Kentucky,Mercer,2020-03-26
Louisiana,Beauregard,2020-03-23
Louisiana,Vernon,2020-03-23
Michigan,Branch,2020-03-24
Nevada,Carson City,2020-04-01
New York,Ulster,2020-03-22
South Carolina,Chesterfield,NA
South Carolina,Lancaster,NA
Texas,Guadalupe,2020-04-02
Washington,Thurston,2020-03-23
Wisconsin,Ashland,2020-03-25
Wisconsin,Milwaukee,2020-03-25
Wyoming,Carbon,NA
Northern Mariana Islands,Saipan,NA
Alabama,Coosa,2020-04-04
Connecticut,New Haven,2020-03-23
Georgia,Taylor,2020-04-03
Illinois,Kendall,2020-03-21
Kentucky,McCreary,2020-03-26
Kentucky,Nicholas,2020-03-26
Minnesota,Beltrami,2020-03-27
Minnesota,Pine,2020-03-27
New York,Hamilton,2020-03-22
North Carolina,Harnett,2020-03-30
South Carolina,Chester,NA
South Carolina,Kershaw,NA
Texas,Frio,2020-04-02
Texas,Kaufman,2020-04-02
Utah,Weber,NA
Virginia,Hampton city,2020-03-30
Illinois,Brown,2020-03-21
Puerto Rico,Arecibo,NA
Montana,Custer,2020-03-28
Alabama,Colbert,2020-04-04
Alabama,Russell,2020-04-04
Arkansas,Jefferson,NA
Colorado,Montrose,2020-03-26
Florida,Duval,2020-04-03
Georgia,Colquitt,2020-04-03
Indiana,Marshall,2020-03-24
Kentucky,Warren,2020-03-26
Minnesota,Freeborn,2020-03-27
Minnesota,Rice,2020-03-27
North Carolina,Person,2020-03-30
North Carolina,Stanly,2020-03-30
North Dakota,Morton,NA
Ohio,Logan,2020-03-23
Ohio,Union,2020-03-23
Oregon,Yamhill,2020-03-23
South Carolina,Georgetown,NA
Wisconsin,Green Lake,2020-03-25
Wyoming,Natrona,NA
Kansas,Edwards,2020-03-30
Missouri,Douglas,2020-04-06
Connecticut,Tolland,2020-03-23
Georgia,Berrien,2020-04-03
Georgia,Bryan,2020-04-03
Georgia,Marion,2020-04-03
Hawaii,Hawaii,2020-03-25
Kentucky,Allen,2020-03-26
Kentucky,Fayette,2020-03-26
Michigan,Bay,2020-03-24
Mississippi,Panola,2020-04-03
Nebraska,Dawson,NA
Nebraska,Kimball,NA
New York,Saratoga,2020-03-22
Oklahoma,Latimer,NA
Tennessee,Hardin,2020-03-31
Tennessee,Smith,2020-03-31
Virginia,Nelson,2020-03-30
Nebraska,Thayer,NA
Mississippi,Issaquena,2020-04-03
Arizona,Maricopa,2020-03-31
Georgia,Monroe,2020-04-03
Idaho,Bonneville,2020-03-25
Idaho,Custer,2020-03-25
Indiana,Grant,2020-03-24
Louisiana,Caddo,2020-03-23
Michigan,Newaygo,2020-03-24
Minnesota,Winona,2020-03-27
Missouri,Christian,2020-04-06
Missouri,Gasconade,2020-04-06
Missouri,Phelps,2020-04-06
Nevada,Clark,2020-04-01
South Dakota,Todd,NA
Texas,DeWitt,2020-04-02
Texas,Washington,2020-04-02
Virginia,Amherst,2020-03-30
Washington,Mason,2020-03-23
Wisconsin,Waupaca,2020-03-25
Iowa,Floyd,NA
Wisconsin,Taylor,2020-03-25
Montana,Garfield,2020-03-28
Colorado,Yuma,2020-03-26
Georgia,Carroll,2020-04-03
Illinois,Schuyler,2020-03-21
New Mexico,Luna,2020-03-24
Texas,Armstrong,2020-04-02
Texas,Morris,2020-04-02
Texas,Young,2020-04-02
Iowa,Humboldt,NA
Puerto Rico,San Lorenzo,NA
South Dakota,Hanson,NA
Alabama,Clarke,2020-04-04
Alabama,Dale,2020-04-04
Alabama,Randolph,2020-04-04
Arkansas,Washington,NA
Minnesota,Yellow Medicine,2020-03-27
Nebraska,Merrick,NA
New Mexico,Grant,2020-03-24
Pennsylvania,Lebanon,2020-04-01
Pennsylvania,Luzerne,2020-04-01
Texas,Travis,2020-04-02
Iowa,Adams,NA
Georgia,Wilkes,2020-04-03
Kansas,Barton,2020-03-30
Louisiana,De Soto,2020-03-23
Minnesota,Otter Tail,2020-03-27
Mississippi,Newton,2020-04-03
Missouri,Bollinger,2020-04-06
North Carolina,Stokes,2020-03-30
Oklahoma,Beckham,NA
South Carolina,Union,NA
Texas,Bowie,2020-04-02
Virginia,Albemarle,2020-03-30
Washington,Columbia,2020-03-23
Nebraska,Sherman,NA
California,Sierra,2020-03-19
Montana,Powder River,2020-03-28
Alabama,Hale,2020-04-04
Arizona,Santa Cruz,2020-03-31
Florida,Bradford,2020-04-03
Florida,Gadsden,2020-04-03
Kansas,Woodson,2020-03-30
Kentucky,Larue,2020-03-26
Kentucky,Oldham,2020-03-26
Louisiana,Cameron,2020-03-23
Louisiana,St. Martin,2020-03-23
Michigan,Crawford,2020-03-24
Michigan,Lake,2020-03-24
Missouri,Nodaway,2020-04-06
New Mexico,Rio Arriba,2020-03-24
Ohio,Adams,2020-03-23
Pennsylvania,Cameron,2020-04-01
Tennessee,Marion,2020-03-31
Tennessee,Rutherford,2020-03-31
Virginia,Bristol city,2020-03-30
Wyoming,Park,NA
Wyoming,Teton,NA
Puerto Rico,Humacao,NA
Arkansas,Nevada,NA
Colorado,San Miguel,2020-03-26
Florida,Okeechobee,2020-04-03
Illinois,Kane,2020-03-21
Indiana,Ripley,2020-03-24
Kentucky,Clay,2020-03-26
Kentucky,Garrard,2020-03-26
Louisiana,Orleans,2020-03-23
Mississippi,Chickasaw,2020-04-03
Nebraska,Lancaster,NA
North Carolina,Cumberland,2020-03-30
Ohio,Ashland,2020-03-23
Ohio,Mahoning,2020-03-23
Oklahoma,Custer,NA
Oregon,Sherman,2020-03-23
Virginia,Amelia,2020-03-30
Virginia,Surry,2020-03-30
Wisconsin,Douglas,2020-03-25
Nebraska,Keith,NA
North Dakota,Mercer,NA
Montana,Blaine,2020-03-28
Florida,Indian River,2020-04-03
Michigan,Eaton,2020-03-24
Nebraska,Nemaha,NA
New York,Fulton,2020-03-22
Ohio,Franklin,2020-03-23
Pennsylvania,Berks,2020-04-01
South Carolina,Abbeville,NA
South Dakota,Jerauld,NA
Texas,Floyd,2020-04-02
Virginia,Brunswick,2020-03-30
Arkansas,Hot Spring,NA
California,Shasta,2020-03-19
Georgia,Atkinson,2020-04-03
Georgia,Paulding,2020-04-03
Georgia,Wilcox,2020-04-03
Iowa,Mitchell,NA
Kentucky,Pulaski,2020-03-26
Maryland,Carroll,2020-03-30
Michigan,Houghton,2020-03-24
Mississippi,George,2020-04-03
New York,Seneca,2020-03-22
North Carolina,Edgecombe,2020-03-30
North Carolina,Granville,2020-03-30
Oklahoma,Kiowa,NA
Wisconsin,Washington,2020-03-25
Nebraska,Jefferson,NA
Puerto Rico,Villalba,NA
Virginia,Dickenson,2020-03-30
Arkansas,St. Francis,NA
Iowa,Iowa,NA
Kansas,Crawford,2020-03-30
Kansas,Greenwood,2020-03-30
Kansas,Montgomery,2020-03-30
Kentucky,Marion,2020-03-26
New Jersey,Hunterdon,2020-03-21
North Dakota,Stark,NA
Ohio,Madison,2020-03-23
Pennsylvania,Bucks,2020-04-01
South Dakota,Deuel,NA
Virginia,Fredericksburg city,2020-03-30
Texas,Collingsworth,2020-04-02
South Dakota,Jackson,NA
Alaska,Denali Borough,2020-03-28
Arkansas,Jackson,NA
Arkansas,Lafayette,NA
California,Los Angeles,2020-03-19
Maryland,Baltimore,2020-03-30
Mississippi,Leflore,2020-04-03
Montana,Pondera,2020-03-28
New Mexico,Cibola,2020-03-24
New Mexico,McKinley,2020-03-24
Oklahoma,McCurtain,NA
Virginia,Portsmouth city,2020-03-30
Virginia,Rockbridge,2020-03-30
Colorado,Clear Creek,2020-03-26
Iowa,Des Moines,NA
Iowa,Wapello,NA
Iowa,Woodbury,NA
Louisiana,Tensas,2020-03-23
Minnesota,Chisago,2020-03-27
Ohio,Champaign,2020-03-23
Oklahoma,Woods,NA
Rhode Island,Providence,2020-03-28
Virginia,Floyd,2020-03-30
North Dakota,Sheridan,NA
Nebraska,Rock,NA
Arkansas,Clark,NA
Arkansas,Newton,NA
Florida,Wakulla,2020-04-03
Kansas,McPherson,2020-03-30
Kentucky,Carter,2020-03-26
Kentucky,Shelby,2020-03-26
Louisiana,St. Charles,2020-03-23
Maine,Cumberland,2020-04-02
Minnesota,Itasca,2020-03-27
Nebraska,Dixon,NA
Nebraska,Scotts Bluff,NA
Pennsylvania,Philadelphia,2020-04-01
Virginia,Emporia city,2020-03-30
West Virginia,Ohio,2020-03-24
North Dakota,Pembina,NA
Texas,Brooks,2020-04-02
Texas,Refugio,2020-04-02
Alaska,Wrangell City and Borough,2020-03-28
California,Imperial,2020-03-19
Colorado,Hinsdale,2020-03-26
Georgia,Sumter,2020-04-03
Illinois,Clinton,2020-03-21
Iowa,Dickinson,NA
Mississippi,Copiah,2020-04-03
Missouri,Callaway,2020-04-06
South Dakota,Clay,NA
Tennessee,Rhea,2020-03-31
Tennessee,Van Buren,2020-03-31
Texas,Denton,2020-04-02
Utah,Garfield,NA
Wisconsin,Sawyer,2020-03-25
North Carolina,Yancey,2020-03-30
Puerto Rico,Luquillo,NA
Nevada,Pershing,2020-04-01
Alabama,Clay,2020-04-04
California,Amador,2020-03-19
Indiana,Allen,2020-03-24
Iowa,Tama,NA
Kansas,Linn,2020-03-30
Mississippi,Attala,2020-04-03
North Carolina,Carteret,2020-03-30
Ohio,Wood,2020-03-23
South Carolina,Marlboro,NA
Texas,Harrison,2020-04-02
Washington,San Juan,2020-03-23
Washington,Walla Walla,2020-03-23
West Virginia,Mingo,2020-03-24
West Virginia,Clay,2020-03-24
Wisconsin,Forest,2020-03-25
Arkansas,Pope,NA
Colorado,La Plata,2020-03-26
Michigan,Antrim,2020-03-24
Michigan,Jackson,2020-03-24
Mississippi,Lawrence,2020-04-03
South Dakota,Brown,NA
Texas,Blanco,2020-04-02
Virginia,Russell,2020-03-30
Virginia,Waynesboro city,2020-03-30
West Virginia,Jackson,2020-03-24
Wisconsin,Adams,2020-03-25
Wisconsin,Fond du Lac,2020-03-25
Wyoming,Goshen,NA
Arkansas,Fulton,NA
Idaho,Bear Lake,2020-03-25
Alabama,Chilton,2020-04-04
California,San Benito,2020-03-19
Florida,Holmes,2020-04-03
Iowa,Franklin,NA
Iowa,Madison,NA
Kansas,Harvey,2020-03-30
Kansas,Seward,2020-03-30
Montana,Meagher,2020-03-28
Nebraska,Morrill,NA
New Mexico,Quay,2020-03-24
Oklahoma,Bryan,NA
Pennsylvania,Lycoming,2020-04-01
Texas,Franklin,2020-04-02
Texas,Lubbock,2020-04-02
Nebraska,Banner,NA
Colorado,Boulder,2020-03-26
Colorado,Mesa,2020-03-26
Colorado,Pitkin,2020-03-26
Kansas,Leavenworth,2020-03-30
Louisiana,Assumption,2020-03-23
Missouri,Randolph,2020-04-06
New Hampshire,Carroll,2020-03-27
North Carolina,Catawba,2020-03-30
Oklahoma,Wagoner,NA
Tennessee,Humphreys,2020-03-31
Virginia,Richmond,2020-03-30
Nevada,Lincoln,2020-04-01
Puerto Rico,Hormigueros,NA
Kentucky,Bell,2020-03-26
Colorado,Custer,2020-03-26
Florida,Broward,2020-04-03
Indiana,Perry,2020-03-24
Indiana,Switzerland,2020-03-24
Kentucky,Boone,2020-03-26
Kentucky,Bullitt,2020-03-26
Louisiana,Webster,2020-03-23
Missouri,Macon,2020-04-06
New York,Oswego,2020-03-22
North Dakota,Dunn,NA
Pennsylvania,Schuylkill,2020-04-01
Pennsylvania,Wayne,2020-04-01
Texas,Potter,2020-04-02
Texas,Menard,2020-04-02
Virginia,Bland,2020-03-30
Alabama,Jackson,2020-04-04
Arkansas,Polk,NA
Georgia,Bartow,2020-04-03
Indiana,Washington,2020-03-24
Iowa,Osceola,NA
Kentucky,Bourbon,2020-03-26
Kentucky,Simpson,2020-03-26
Minnesota,Anoka,2020-03-27
